victor_id	ncbi_gene_id	ogg_iri	reference_annotation
1	4362678	http://purl.obolibrary.org/obo/OGG_3004362678	MUTATION: Mutation of plasmid gene ORF3 (comB3) reduced adherence/invasion of INT407 cells to approximately 1/3 of wild type strain 81-176 [PMID:10899834]. 
2	3244810	http://purl.obolibrary.org/obo/OGG_3003244810	MUTATION: traT mutants have altered membrane permeability and are sensitive to hydrophobic antibiotics [PMID:3323837].
3	3654467	http://purl.obolibrary.org/obo/OGG_3003654467	MUTATION: traT mutants have altered membrane permeability and are sensitive to hydrophobic antibiotics [PMID:3323837].
6	3829299	http://purl.obolibrary.org/obo/OGG_3003829299	MUTATION: interruption of the eatA gene retarded fluid accumulation in the rabbit ileal loop model, suggesting that this autotransporter contributes to the virulence of ETEC [PMID:14977988].
7	3853397	http://purl.obolibrary.org/obo/OGG_3003853397	MUTATION: traT mutants have altered membrane permeability and are sensitive to hydrophobic antibiotics [PMID:3323837].
8	3853505	http://purl.obolibrary.org/obo/OGG_3003853505	MUTATION: attenuated in chicks [PMID:18541653].
9	3853506	http://purl.obolibrary.org/obo/OGG_3003853506	MUTATION: attenuated in chicks [PMID:18541653].
10	3853507	http://purl.obolibrary.org/obo/OGG_3003853507	MUTATION: attenuated in chicks [PMID:18541653].
11	3853509	http://purl.obolibrary.org/obo/OGG_3003853509	MUTATION: iroA gene cluster mutants were unable to resist Lcn2 in mouse serum [PMID:17060628].
12	3853516	http://purl.obolibrary.org/obo/OGG_3003853516	MUTATION: attenuated in mice [PMID:2973985].
13	3853517	http://purl.obolibrary.org/obo/OGG_3003853517	MUTATION: attenuated in mice [PMID:2973985].
14	3853518	http://purl.obolibrary.org/obo/OGG_3003853518	MUTATION: attenuated in mice [PMID:2973985].
15	3853519	http://purl.obolibrary.org/obo/OGG_3003853519	MUTATION: attenuated in mice [PMID:2973985].
16	3853520	http://purl.obolibrary.org/obo/OGG_3003853520	MUTATION: attenuated in mice [PMID:11553558].
17	4364265	http://purl.obolibrary.org/obo/OGG_3004364265	MUTATION: traT mutants have altered membrane permeability and are sensitive to hydrophobic antibiotics [PMID:3323837].
18	6382168	http://purl.obolibrary.org/obo/OGG_3006382168	MUTATION: bfpA deletion mutant of EPEC was less virulent in humans than the wild-type EPEC [PMID:9641917].
19	6382170	http://purl.obolibrary.org/obo/OGG_3006382170	MUTATION: bfpB mutant EPEC is unable to form BFP which is a major virulence factor of EPEC [PMID:8932312].
20	6382174	http://purl.obolibrary.org/obo/OGG_3006382174	MUTATION: bfpE mutant strain of EPEC fails to form detectable BFP and fails to carry out autoaggregation and localized adherence to HEp-2 epithelial cells in tissue culture [PMID:11443077].
21	6382175	http://purl.obolibrary.org/obo/OGG_3006382175	MUTATION: bfpF mutant colonized the human intestine but was about 200-fold less virulent than the wild-type EPEC [PMID:9641917].
22	6382176	http://purl.obolibrary.org/obo/OGG_3006382176	MUTATION: mutation in bfpP blocks BFP biogenesis and localized adherence to host cells by EPEC [PMID:10762251].
23	6382186	http://purl.obolibrary.org/obo/OGG_3006382186	MUTATION: bfpT (perA) disruption mutant of EPEC was less virulent in humans than the wild-type EPEC [PMID:9641917].
24	876426	http://purl.obolibrary.org/obo/OGG_3000876426	MUTATION: mxiC mutant has a 10-fold decrease in efficiency in invading epithelial cells [PMID:19017268].
