victor_id	ogg_iri	victor_host_name	victor_host_taxon	victor_host_cell_ontology_iri	victor_host_cell_ontology_name	victor_host_cell_line_ontology_iri	victor_host_cell_line_ontology_name	reference_annotation
6	OGG_3003829299	rabbit	9986					MUTATION: interruption of the eatA gene retarded fluid accumulation in the rabbit ileal loop model, suggesting that this autotransporter contributes to the virulence of ETEC [PMID:14977988].
8	OGG_3003853505	chicken	9031					MUTATION: attenuated in chicks [PMID:18541653].
9	OGG_3003853506	chicken	9031					MUTATION: attenuated in chicks [PMID:18541653].
10	OGG_3003853507	chicken	9031					MUTATION: attenuated in chicks [PMID:18541653].
11	OGG_3003853509	mouse	10090					MUTATION: iroA gene cluster mutants were unable to resist Lcn2 in mouse serum [PMID:17060628].
12	OGG_3003853516	mouse	10090					MUTATION: attenuated in mice [PMID:2973985].
13	OGG_3003853517	mouse	10090					MUTATION: attenuated in mice [PMID:2973985].
14	OGG_3003853518	mouse	10090					MUTATION: attenuated in mice [PMID:2973985].
15	OGG_3003853519	mouse	10090					MUTATION: attenuated in mice [PMID:2973985].
16	OGG_3003853520	mouse	10090					MUTATION: attenuated in mice [PMID:11553558].
18	OGG_3006382168	human	9606					MUTATION: bfpA deletion mutant of EPEC was less virulent in humans than the wild-type EPEC [PMID:9641917].
21	OGG_3006382175	human	9606					MUTATION: bfpF mutant colonized the human intestine but was about 200-fold less virulent than the wild-type EPEC [PMID:9641917].
23	OGG_3006382186	human	9606					MUTATION: bfpT (perA) disruption mutant of EPEC was less virulent in humans than the wild-type EPEC [PMID:9641917].
28	OGG_3000876435	mouse	10090					MUTATION: transposon mutants of ipgA cannot invade epithelial cells and cannot induce keratoconjunctivitis in mice [PMID:8376337].
28	OGG_3000876435	mouse	10090	http://purl.obolibrary.org/obo/CL_0000066	epithelial cell			MUTATION: transposon mutants of ipgA cannot invade epithelial cells and cannot induce keratoconjunctivitis in mice [PMID:8376337].
35	OGG_3000876473	monkey	9479					MUTATION: virG mutants are able to replicate in cells, but cell to cell spread is attenuated in monkey kidney epithelial cells [PMID:2644195].
35	OGG_3000876473	monkey	9479	http://purl.obolibrary.org/obo/CL_0000066	epithelial cell			MUTATION: virG mutants are able to replicate in cells, but cell to cell spread is attenuated in monkey kidney epithelial cells [PMID:2644195].
36	OGG_3000876493	mouse	10090					MUTATION: transposon mutants of ipgB cannot invade epithelial cells and cannot induce keratoconjunctivitis in mice [PMID:8376337].
36	OGG_3000876493	mouse	10090	http://purl.obolibrary.org/obo/CL_0000066	epithelial cell			MUTATION: transposon mutants of ipgB cannot invade epithelial cells and cannot induce keratoconjunctivitis in mice [PMID:8376337].
53	OGG_3000876625	mouse	10090					MUTATION: ipaH9.8 deletion mutant caused more severe inflammatory responses with increased pro-inflammatory cytokine production levels than did wild-type Shigella, which resulted in a 30-fold decrease in bacterial colonization in murine lungs [PMID:15950937].
55	OGG_3000876712	rabbit	9986					MUTATION: sepA mutant has attenuated virulence in ligated rabbit ileal loop model [PMID:7476198].
56	OGG_3000876715	mouse	10090					MUTATION: ipaH7.8 mutants had a lower rate of exit from the endocytic vacuoles into the cytoplasm in mouse macrophages than the wild-type strain [PMID:10816519].
56	OGG_3000876715	mouse	10090	http://purl.obolibrary.org/obo/CL_0000235	macrophage			MUTATION: ipaH7.8 mutants had a lower rate of exit from the endocytic vacuoles into the cytoplasm in mouse macrophages than the wild-type strain [PMID:10816519].
57	OGG_3000922492	mouse	10090					MUTATION: sigF mutant is attenuated in mice [PMID:14977982].
58	OGG_3000922599	mouse	10090					MUTATION: fbpA mutant is attenuated in mice [PMID:15557632].
59	OGG_3000922795	mouse	10090					MUTATION: panCD mutant is attenuated in mice [PMID:12219086].
60	OGG_3000922907	mouse	10090					MUTATION: sigH mutant has diminished immunopathology and is nonlethal in mice [PMID:12060776].
61	OGG_3000923111	human	9606					MUTATION: sigD mutant is attenuated in human macrophages and mice [PMID:15659067].
61	OGG_3000923111	human	9606	http://purl.obolibrary.org/obo/CL_0000235	macrophage			MUTATION: sigD mutant is attenuated in human macrophages and mice [PMID:15659067].
61	OGG_3000923111	mouse	10090					MUTATION: sigD mutant is attenuated in human macrophages and mice [PMID:15659067].
