ohpi_id	ohpi_label	victor_id	ogg_iri	victor_gene_name	victor_pathogen_name	victor_pathogen_taxon	victor_host_name	victor_host_taxon	victor_host_cell_ontology_iri	victor_host_cell_ontology_name	victor_host_cell_line_ontology_iri	victor_host_cell_line_ontology_name
OHPI_9000001	E. coli eatA mutant interaction with rabbit	6	OGG_3003829299	eatA	E. coli	83334	rabbit	9986				
OHPI_9000002	E. coli iroB mutant interaction with chicken	8	OGG_3003853505	iroB	E. coli	83334	chicken	9031				
OHPI_9000003	E. coli iroC mutant interaction with chicken	9	OGG_3003853506	iroC	E. coli	83334	chicken	9031				
OHPI_9000004	E. coli iroD mutant interaction with chicken	10	OGG_3003853507	iroD	E. coli	83334	chicken	9031				
OHPI_9000005	E. coli iroN mutant interaction with mouse	11	OGG_3003853509	iroN	E. coli	83334	mouse	10090				
OHPI_9000006	E. coli iucA mutant interaction with mouse	12	OGG_3003853516	iucA	E. coli	83334	mouse	10090				
OHPI_9000007	E. coli iucB mutant interaction with mouse	13	OGG_3003853517	iucB	E. coli	83334	mouse	10090				
OHPI_9000008	E. coli iucC mutant interaction with mouse	14	OGG_3003853518	iucC	E. coli	83334	mouse	10090				
OHPI_9000009	E. coli iucD mutant interaction with mouse	15	OGG_3003853519	iucD	E. coli	83334	mouse	10090				
OHPI_9000010	E. coli iutA mutant interaction with mouse	16	OGG_3003853520	iutA	E. coli	83334	mouse	10090				
OHPI_9000011	E. coli bfpA mutant interaction with human	18	OGG_3006382168	bfpA	E. coli	83334	human	9606				
OHPI_9000012	E. coli bfpF mutant interaction with human	21	OGG_3006382175	bfpF	E. coli	83334	human	9606				
OHPI_9000013	E. coli perA mutant interaction with human	23	OGG_3006382186	perA	E. coli	83334	human	9606				
OHPI_9000014	Shigella ipgA mutant interaction with mouse	28	OGG_3000876435	ipgA	Shigella	620	mouse	10090				
OHPI_9000015	Shigella ipgA mutant interaction with mouse epithelial cell	28	OGG_3000876435	ipgA	Shigella	620	mouse	10090	http://purl.obolibrary.org/obo/CL_0000066	epithelial cell		
OHPI_9000016	Shigella virG mutant interaction with monkey	35	OGG_3000876473	virG	Shigella	620	monkey	9479				
