victor_id	ogg_id	protegen_annotation	protegen_id	protegen_vo_iri	vaccine_vo_iri
4530	OGG_3000911827	VP35 expressed from alphavirus replicons induced a protective immune response in C57BL/6 mice when challenged with Ebola virus Zaire [PMID:11485406].	16	http://purl.obolibrary.org/obo/VO_0010864	
1125	OGG_3001172676	MAb BA5 protected animals against plague, neutralized the Y. pestis type III secretion pathway and promoted opsonophagocytic clearance of bacteria in blood. LcrV residues 196-225 were necessary and sufficient for MAb BA5 binding.  These results identify LcrV residues 196-225 as a linear epitope that is recognized by the murine immune system to confer plague protection [PMID:20005318].	44	http://purl.obolibrary.org/obo/VO_0010874	http://purl.obolibrary.org/obo/VO_0000831
2513	OGG_3001149310	An LcrV variant lacking amino acid residues 271 to 300 (rV10) elicited immune responses that protected mice against a lethal challenge with Y. pestis [PMID:16041032].	45	http://purl.obolibrary.org/obo/VO_0010875	
1117	OGG_3001172643	Study evaluated the humoral immune response of mice that survived lethal Y. pestis aerosol challenge after antibiotic treatment. Results indicated that one of the predominant antibody response of mice surviving pneumonic plague after treatment with antibiotics was to pla [PMID:10085037].	48	http://purl.obolibrary.org/obo/VO_0010877	
1122	OGG_3001172673	The type III secretion apparatus encoded on the low-calcium response (LCR) virulence plasmid, pCD1 in strain KIM5, of Y. pestis is a conserved virulence mechanism that is absolutely required for virulence of Y. pestis. YscF is a surface localized protein required both to secrete Yops and to translocate toxins into eukaryotic cells. YscF polymerization is possibly required for a YscF needle to puncture eukaryotic cell membranes. It is also likely that YscF and its homologs function to provide a base that a translocon complex is built upon, or that YscF builds a conduit from the bacterium to the eukaryotic membrane - this suggestion seems more likely given that other proteins such as YopB, YopD, and LcrV are also required for translocation into eukaryotic cells. YscF is thought to be a surface-expressed protein in Y. pestis and is required for virulence. YscF has been found to function as a protective antigen against experimental plague infection [PMID:15978133].	49	http://purl.obolibrary.org/obo/VO_0010878	http://purl.obolibrary.org/obo/VO_0000834
1127	OGG_3001172712	Study evaluated the humoral immune response of mice that survived lethal Y. pestis aerosol challenge after antibiotic treatment.  Results indicated that one of the predominant antibody response of mice surviving pneumonic plague after treatment with antibiotics was to yopH [PMID:10085037].	51	http://purl.obolibrary.org/obo/VO_0012359	
2563	OGG_3005398487	Mice and rabbits were immunized with recombinant HCR/A1 (rHCR/A1) from the classical type A-Hall strain (ATCC 3502) (BoNT/A1) and rHCR/E from BoNT serotype E Beluga (BoNT/E(B)).  The protection elicited by rHCR/A1 to BoNT/A1 and BoNT/A2 and by rHCR/E(B) to BoNT/E(A) indicate that immunization with receptor binding domains elicit protection within sub-serotypes of BoNT [PMID:16177380].	448	http://purl.obolibrary.org/obo/VO_0010903	
2564	OGG_3006030102	The DNA replicon vaccine (pSCARSBHc) encoding the Hc domain of BoNT/B (BHc) induced better responses and protection against BoNT/B mouse challenge than conventional DNA vaccine.  Recombinant SFV particle VRP-BHc protected mice from high-dose BoNT/B challenge [PMID:28869522]. The production of ciBoNT/B1 HP, ciBoNT/C1 HP, ciBoNT/E1 HP and ciBoNT/F1 HP suggest the ciBoNT HP vaccines exhibit superior potency after single vaccinations.[PMID:28869522]	449	http://purl.obolibrary.org/obo/VO_0010904	
169	OGG_3000886209	The heterologous prime-boost strategy of live Salmonella vaccine expressing Mycobacterium tuberculosis fusion antigen Age5B-ESAT6 (esxA) from the chromosome followed by a systemic boost of antigen and adjuvant reduced the levels of M. tuberculosis bacteria in the lungs and spleen to the same extent as BCG. Additionally, this vaccination regimen was observed to be statistically equivalent in terms of protection to immunisation with BCG [PMID:16751377].    In a prophylactic vaccine model, immunization with the Mycobacterium tuberculosis protein ESAT-6 with LANAC adjuvant elicited significant protective immunity against aerosol challenge with virulent M. tuberculosis [PMID:16751377].	104	http://purl.obolibrary.org/obo/VO_0010919	http://purl.obolibrary.org/obo/VO_0000536
2201	OGG_3000960860	Mice immunized intranasally with recombinant Tir protein had a survival rate of 92.9% after challenge with EHEC 0157:H7  [PMID:26020530].  Immunization of calves with recombinant EHEC O157 EspA, intimin and Tir resulted in the generation of antibodies capable of cross-reacting with antigens from non-O157 EHEC serotypes, suggesting that immunization with these antigens may provide a degree of cross-protection against other EHEC serotypes [PMID:26020530]	199	http://purl.obolibrary.org/obo/VO_0010940	http://purl.obolibrary.org/obo/VO_0000459
2202	OGG_3000960862	Systemic immunization of calves with a combination of EspA, intimin-531, and H7 flagellin resulted in a significant reduction in shedding of EHEC O157 to levels predicted to significantly impact on EHEC O157 cattle-to-cattle transmission [PMID:26020530]	93	http://purl.obolibrary.org/obo/VO_0010944	http://purl.obolibrary.org/obo/VO_0000478
2081	OGG_3003992235	FimH is a protective antigen [PMID:9110982]  Of the vaccine preparations, Fusion, Fusion + CT, and FimH admixed with FliC and CT showed the best protection against UPEC (Asadi et al., 2016).	263	http://purl.obolibrary.org/obo/VO_0010945	
160	OGG_3000886194	The 10-kDa culture filtrate protein (CFP-10, esxB) and 6-kDa early secretory antigen of T cells (ESAT-6) are secreted in abundance by Mycobacterium tuberculosis.  Study demonstrated that protective immunity is induced by CFP-10 DNA vaccination in C3H mice as measured by a CFU reduction in the lung and spleen 4 and 8 weeks after challenge with M. tuberculosis [PMID:18332205].	121	http://purl.obolibrary.org/obo/VO_0010951	
150	OGG_3000886132	Researchers have developed DNA vaccines expressing M. tuberculosis antigen 85A (Ag85A, fbpA) and cytokine granulocyte macrophage colony stimulating factor (GM-CSF).  The immune strategy of BCG-prime and DNA vaccine boost induced mice to generate efficient immune protection against M. tuberculosis challenge [PMID:19450898].	122	http://purl.obolibrary.org/obo/VO_0010952	
169	OGG_3000886209	In a prophylactic vaccine model, immunization with the Mycobacterium tuberculosis protein ESAT-6 with LANAC adjuvant elicited significant protective immunity against aerosol challenge with virulent M. tuberculosis [PMID:16751377].	816	http://purl.obolibrary.org/obo/VO_0012368	http://purl.obolibrary.org/obo/VO_0004035
115	OGG_3000885638	DNA vaccines encoding  KatG antigen fused to TPA signal sequences evoked  a significant protective response in mice aerogenically challenged with low doses of Mycobacterium tuberculosis Erdman 17 to 21 days after the final immunization [PMID:10456931].	817	http://purl.obolibrary.org/obo/VO_0012369	http://purl.obolibrary.org/obo/VO_0004058
84	OGG_3000885072	A selection of previously identified protective Mycobacterium tuberculosis DNA vaccines were re-formulated as proteins and administered with a Th1-inducing adjuvant to help stimulate the relevant immune responses necessary for protection. One candidate (Rv1806-1807) induced protection in the guinea pig aerosol infection model 30 days post-challenge on the basis of reducing the bacterial burden of M. tuberculosis in the lungs [PMID:16520093].	820	http://purl.obolibrary.org/obo/VO_0012372	
1850	OGG_3005211814	Purified preparations of HBHA were emulsified in a dimethyldioctadecylammonium bromide-monophosphoryl lipid A adjuvant and tested for the ability to reduce M. tuberculosis infection in the mouse aerosol challenge model for tuberculosis. The HBHA-containing vaccine gave a approximately 0.7-log reduction in CFU in both mouse lungs and spleens compared to adjuvant controls 28 days following challenge [PMID:15557600].	821	http://purl.obolibrary.org/obo/VO_0012373	http://purl.obolibrary.org/obo/VO_0004059
